album_type,album_id,album_name,release_date,artist_name,artist_uri,artist_genres,album_popularity,duration_ms,explicit,href,track_id,track_name,preview_url,track_number,uri,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,analysis_url,time_signature
single,7luUoT7Y82DkMvGzZib8oo,"This Is Me [Alan Walker Relift (From ""The Greatest Showman"")]",2018-03-23,Keala Settle,spotify:artist:7HV2RI2qNug4EcQqLbCAKS,movie tunes,46,215758,False,https://api.spotify.com/v1/tracks/1QBoJK6GLAYMlNblm5gFBP,1QBoJK6GLAYMlNblm5gFBP,"This Is Me - Alan Walker Relift (From ""The Greatest Showman"")",https://p.scdn.co/mp3-preview/b3e3c6f716a6769534ae9f5b8945bf7b587c08d3?cid=705aa8fce6fc4c508bab06c543baa528,1,spotify:track:1QBoJK6GLAYMlNblm5gFBP,50,0.422,0.824,2,-3.447,1,0.0756,0.129,0.0,0.304,0.294,95.331,https://api.spotify.com/v1/tracks/1QBoJK6GLAYMlNblm5gFBP,https://api.spotify.com/v1/audio-analysis/1QBoJK6GLAYMlNblm5gFBP,4
single,1bbOecKvywdyRfSBxKbbCO,This Is Me [Dave Audé Remix (From The Greatest Showman)],2018-02-09,Keala Settle,spotify:artist:7HV2RI2qNug4EcQqLbCAKS,movie tunes,46,216204,False,https://api.spotify.com/v1/tracks/1NNhZKNrg8WVmU6Ok8TDtO,1NNhZKNrg8WVmU6Ok8TDtO,This Is Me - Dave Audé Remix (From The Greatest Showman),https://p.scdn.co/mp3-preview/71cf74e76b76d97f714e769fd475552523569968?cid=705aa8fce6fc4c508bab06c543baa528,1,spotify:track:1NNhZKNrg8WVmU6Ok8TDtO,50,0.573,0.941,11,-2.536,0,0.134,0.00708,1.74e-05,0.12,0.518,121.939,https://api.spotify.com/v1/tracks/1NNhZKNrg8WVmU6Ok8TDtO,https://api.spotify.com/v1/audio-analysis/1NNhZKNrg8WVmU6Ok8TDtO,4
single,4wANZhDo96C4733BPN3cGZ,Asi Soy,2017-12-29,Maite Perroni,spotify:artist:6ModsWtBph2rE6zCTVxvZt,movie tunes,38,235599,False,https://api.spotify.com/v1/tracks/0MaP6uyxXBAjIe7VLsFP5j,0MaP6uyxXBAjIe7VLsFP5j,Asi Soy - Mexico Version,https://p.scdn.co/mp3-preview/7571ab076b5694c91651fce92bdcf80f6a7612ba?cid=705aa8fce6fc4c508bab06c543baa528,1,spotify:track:0MaP6uyxXBAjIe7VLsFP5j,42,0.395,0.681,2,-7.712,1,0.046,0.0324,0.0,0.0878,0.182,95.943,https://api.spotify.com/v1/tracks/0MaP6uyxXBAjIe7VLsFP5j,https://api.spotify.com/v1/audio-analysis/0MaP6uyxXBAjIe7VLsFP5j,4
single,7ngTKzJ53B9SPirsp2Ddm4,"A Million Dreams (Reprise) [From ""The Greatest Showman""] [Instrumental]",2017-12-05,The Greatest Showman Ensemble,spotify:artist:63nv0hWWDob56Rk8GlNpN8,movie tunes,35,60455,False,https://api.spotify.com/v1/tracks/6yqbH2bs1Um8g44ldCVrUf,6yqbH2bs1Um8g44ldCVrUf,"A Million Dreams (Reprise) [From ""The Greatest Showman""] - Instrumental",https://p.scdn.co/mp3-preview/a891d3a312c99f2f9c6963d7caf64698e59365ac?cid=705aa8fce6fc4c508bab06c543baa528,1,spotify:track:6yqbH2bs1Um8g44ldCVrUf,39,0.0881,0.129,6,-24.476,1,0.0402,0.453,0.127,0.296,0.0585,84.167,https://api.spotify.com/v1/tracks/6yqbH2bs1Um8g44ldCVrUf,https://api.spotify.com/v1/audio-analysis/6yqbH2bs1Um8g44ldCVrUf,3
single,1vDzOqTO7KyVvzexhB7GBa,"Never Enough (Reprise) [From ""The Greatest Showman""] [Instrumental]",2017-12-05,The Greatest Showman Ensemble,spotify:artist:63nv0hWWDob56Rk8GlNpN8,movie tunes,33,80286,False,https://api.spotify.com/v1/tracks/5R0JBZv31s8agoxMJzVJ9m,5R0JBZv31s8agoxMJzVJ9m,"Never Enough (Reprise) [From ""The Greatest Showman""] - Instrumental",https://p.scdn.co/mp3-preview/001ba5ef29ae293653596f97362757146ec6d6b4?cid=705aa8fce6fc4c508bab06c543baa528,1,spotify:track:5R0JBZv31s8agoxMJzVJ9m,37,0.0662,0.0396,9,-27.793,1,0.0372,0.876,0.231,0.0804,0.0385,70.082,https://api.spotify.com/v1/tracks/5R0JBZv31s8agoxMJzVJ9m,https://api.spotify.com/v1/audio-analysis/5R0JBZv31s8agoxMJzVJ9m,4
single,7zeegKviS9AGeoEenSdO6I,This Is Me,2017-10-27,Keala Settle,spotify:artist:7HV2RI2qNug4EcQqLbCAKS,movie tunes,61,234706,False,https://api.spotify.com/v1/tracks/2xGjteMU3E1tkEPVFBO08U,2xGjteMU3E1tkEPVFBO08U,This Is Me,https://p.scdn.co/mp3-preview/4e3a8d43df85b32a1d056f2c3e6c745d6da46359?cid=705aa8fce6fc4c508bab06c543baa528,1,spotify:track:2xGjteMU3E1tkEPVFBO08U,65,0.284,0.704,2,-7.276,1,0.186,0.00583,0.000115,0.0424,0.1,191.702,https://api.spotify.com/v1/tracks/2xGjteMU3E1tkEPVFBO08U,https://api.spotify.com/v1/audio-analysis/2xGjteMU3E1tkEPVFBO08U,4
album,1V3SPr45Sj8uRuAup6Dd2l,100 Uplifting Songs,2021-03-26,Various Artists,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,movie tunes,54,242373,False,https://api.spotify.com/v1/tracks/1Asg7I18Ld7gLKAyIgIDNr,1Asg7I18Ld7gLKAyIgIDNr,Viva La Vida,https://p.scdn.co/mp3-preview/9bf459fabd79fc52d519cc257cbe8e29016a4ab4?cid=705aa8fce6fc4c508bab06c543baa528,1,spotify:track:1Asg7I18Ld7gLKAyIgIDNr,37,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,https://api.spotify.com/v1/tracks/1Asg7I18Ld7gLKAyIgIDNr,https://api.spotify.com/v1/audio-analysis/1Asg7I18Ld7gLKAyIgIDNr,4
album,1V3SPr45Sj8uRuAup6Dd2l,100 Uplifting Songs,2021-03-26,Various Artists,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,movie tunes,54,227343,False,https://api.spotify.com/v1/tracks/0044KLg63hSE6JUcXWnqoj,0044KLg63hSE6JUcXWnqoj,Hold My Hand,https://p.scdn.co/mp3-preview/a6c70c1439db00806ac8c4c095fdafbe6979c5ed?cid=705aa8fce6fc4c508bab06c543baa528,2,spotify:track:0044KLg63hSE6JUcXWnqoj,35,0.65,0.823,0,-5.717,1,0.0289,0.00159,0.0,0.0776,0.432,123.018,https://api.spotify.com/v1/tracks/0044KLg63hSE6JUcXWnqoj,https://api.spotify.com/v1/audio-analysis/0044KLg63hSE6JUcXWnqoj,4
album,1V3SPr45Sj8uRuAup6Dd2l,100 Uplifting Songs,2021-03-26,Various Artists,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,movie tunes,54,220733,False,https://api.spotify.com/v1/tracks/6sIki0jaxEEr5LgAhEugye,6sIki0jaxEEr5LgAhEugye,Just the Way You Are,https://p.scdn.co/mp3-preview/dd0b6725c3dcf14e06ed61e4f9f45470ffe461b6?cid=705aa8fce6fc4c508bab06c543baa528,3,spotify:track:6sIki0jaxEEr5LgAhEugye,35,0.635,0.843,5,-5.413,1,0.0432,0.0151,0.0,0.0876,0.434,109.014,https://api.spotify.com/v1/tracks/6sIki0jaxEEr5LgAhEugye,https://api.spotify.com/v1/audio-analysis/6sIki0jaxEEr5LgAhEugye,4
album,1V3SPr45Sj8uRuAup6Dd2l,100 Uplifting Songs,2021-03-26,Various Artists,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,movie tunes,54,142186,False,https://api.spotify.com/v1/tracks/2pCfenigottO2nnEOCMe2i,2pCfenigottO2nnEOCMe2i,Respect,https://p.scdn.co/mp3-preview/685d4ffd31d05e4489a2cf25f7d29090ac9305fc?cid=705aa8fce6fc4c508bab06c543baa528,4,spotify:track:2pCfenigottO2nnEOCMe2i,33,0.744,0.611,0,-6.386,1,0.0333,0.0723,0.000532,0.0692,0.961,114.991,https://api.spotify.com/v1/tracks/2pCfenigottO2nnEOCMe2i,https://api.spotify.com/v1/audio-analysis/2pCfenigottO2nnEOCMe2i,4
